startTime;edgeTime;cloudTime;notificationTime;clientName;hasLeak;leakGroup;prediction
1692257114.523;1692257115.026276;1692257115.401269;1692257115.40151;gateway_1;0;0;0
1692257115.025;1692257115.529021;1692257115.839187;1692257115.839396;gateway_1;0;0;0
1692257115.528;1692257116.031452;1692257116.34258;1692257116.342792;gateway_1;0;0;0
1692257116.031;1692257116.534301;1692257116.844893;1692257116.845091;gateway_1;0;0;0
1692257116.534;1692257117.036792;1692257117.347057;1692257117.347271;gateway_1;0;0;0
1692257117.036;1692257117.540935;1692257117.851707;1692257117.851924;gateway_1;0;0;0
1692257117.54;1692257118.04324;1692257118.353465;1692257118.353686;gateway_1;0;0;0
1692257118.043;1692257118.546783;1692257118.857781;1692257118.858005;gateway_1;0;0;0
1692257118.546;1692257119.049061;1692257119.359301;1692257119.359518;gateway_1;0;0;0
1692257119.048;1692257119.552411;1692257119.863076;1692257119.863302;gateway_1;0;0;0
1692257119.552;1692257120.055273;1692257120.365545;1692257120.365764;gateway_1;0;0;0
1692257120.055;1692257120.557964;1692257120.868764;1692257120.868973;gateway_1;0;0;0
1692257120.558;1692257121.061962;1692257121.372071;1692257121.372292;gateway_1;0;0;0
1692257121.061;1692257121.564748;1692257121.875266;1692257121.875477;gateway_1;0;0;0
1692257121.564;1692257122.067626;1692257122.378326;1692257122.378548;gateway_1;0;0;0
1692257122.067;1692257122.571527;1692257122.882075;1692257122.882294;gateway_1;0;0;0
1692257122.57;1692257123.073179;1692257123.383542;1692257123.383759;gateway_1;0;0;0
1692257123.073;1692257123.575937;1692257123.886781;1692257123.887001;gateway_2;0;0;0
1692257123.575;1692257124.079359;1692257124.390046;1692257124.390259;gateway_2;0;0;0
1692257124.078;1692257124.584452;1692257124.895833;1692257124.896048;gateway_2;0;0;0
1692257124.582;1692257125.086149;1692257125.396831;1692257125.397042;gateway_2;0;0;0
1692257125.085;1692257125.58979;1692257125.902082;1692257125.9023;gateway_2;0;0;0
1692257125.588;1692257126.091357;1692257126.402625;1692257126.402843;gateway_2;0;0;0
1692257126.091;1692257126.594649;1692257126.906088;1692257126.906302;gateway_2;0;0;0
1692257126.594;1692257127.097802;1692257127.409111;1692257127.409332;gateway_2;0;0;0
1692257127.097;1692257127.60137;1692257127.912357;1692257127.912579;gateway_2;0;0;0
1692257127.6;1692257128.103529;1692257128.414364;1692257128.414586;gateway_2;0;0;0
1692257128.103;1692257128.607208;1692257128.917857;1692257128.91887;gateway_2;0;0;0
1692257128.606;1692257129.109653;1692257129.421151;1692257129.421418;gateway_2;0;0;0
1692257129.109;1692257129.613528;1692257129.925622;1692257129.925853;gateway_2;0;0;0
