startTime;edgeTime;cloudTime;notificationTime;clientName;hasLeak;leakGroup;prediction
1692258818.569;1692258819.073001;1692258819.077998;1692258859.617693;gateway_1;0;0;0
1692258819.072;1692258819.575349;1692258859.618697;1692258859.70999;gateway_1;0;0;0
1692258819.575;1692258820.078385;1692258859.713994;1692258859.798992;gateway_1;0;0;0
1692258820.078;1692258820.581616;1692258859.801988;1692258859.901056;gateway_1;0;0;0
1692258820.581;1692258821.085076;1692258859.906037;1692258859.986037;gateway_1;0;0;0
1692258821.084;1692258821.588136;1692258859.987038;1692258860.084736;gateway_1;0;0;0
1692258821.588;1692258822.091636;1692258860.085735;1692258860.18472;gateway_1;0;0;0
1692258822.091;1692258822.593758;1692258860.185726;1692258860.284722;gateway_1;0;0;0
1692258822.593;1692258823.096546;1692258860.285723;1692258860.393714;gateway_1;0;0;0
1692258823.096;1692258823.599264;1692258860.394716;1692258860.493877;gateway_1;0;0;0
1692258823.598;1692258824.102888;1692258860.497326;1692258860.621819;gateway_1;0;0;0
1692258824.101;1692258824.60462;1692258860.62582;1692258860.707818;gateway_1;0;0;0
1692258824.604;1692258825.109059;1692258860.708858;1692258860.814877;gateway_1;0;0;0
1692258825.108;1692258825.611409;1692258860.817169;1692258860.936301;gateway_1;0;0;0
1692258825.611;1692258826.115606;1692258860.938301;1692258861.031129;gateway_1;0;0;0
1692258826.114;1692258826.618049;1692258861.032119;1692258861.124151;gateway_1;0;0;0
1692258826.617;1692258827.12088;1692258861.125117;1692258861.219337;gateway_1;0;0;0
1692258827.12;1692258827.624089;1692258861.220309;1692258861.32769;gateway_1;0;0;0
1692258827.623;1692258828.126921;1692258861.330858;1692258861.422516;gateway_1;0;0;0
1692258828.126;1692258828.629205;1692258861.423516;1692258861.516513;gateway_1;0;0;0
1692258858.812;1692258859.316263;1692258861.517517;1692258861.624203;gateway_1;0;0;0
1692258859.315;1692258859.81857;1692258861.625217;1692258861.721201;gateway_1;0;0;0
1692258859.818;1692258860.321724;1692258861.728209;1692258861.822202;gateway_1;0;0;0
1692258860.321;1692258860.825579;1692258861.823201;1692258861.915864;gateway_1;0;0;0
1692258860.824;1692258861.3302;1692258861.915864;1692258862.007872;gateway_1;0;0;0
1692258861.328;1692258861.831796;1692258862.008865;1692258862.099881;gateway_1;0;0;0
1692258861.831;1692258862.334654;1692258862.335737;1692258862.383187;gateway_1;0;0;0
1692258862.334;1692258862.837335;1692258862.838425;1692258862.919855;gateway_1;0;0;0
1692258862.836;1692258863.340227;1692258863.341898;1692258863.401996;gateway_1;0;0;0
1692258863.34;1692258863.843301;1692258863.844382;1692258863.88965;gateway_1;0;0;0
1692258863.843;1692258864.346425;1692258864.347516;1692258864.392798;gateway_1;0;0;0
1692258864.345;1692258864.849174;1692258864.850307;1692258864.896395;gateway_1;0;0;0
1692258864.848;1692258865.351215;1692258865.352315;1692258865.399653;gateway_1;0;0;0
1692258865.351;1692258865.853972;1692258865.855063;1692258865.9011;gateway_1;0;0;0
1692258865.853;1692258866.357603;1692258866.358738;1692258866.40453;gateway_1;0;0;0
1692258866.357;1692258866.859904;1692258866.861128;1692258866.906835;gateway_1;0;0;0
1692258866.859;1692258867.362446;1692258867.364084;1692258867.410441;gateway_1;0;0;0
1692258867.362;1692258867.864869;1692258867.865995;1692258867.912641;gateway_1;0;0;0
1692258867.864;1692258868.368479;1692258868.369941;1692258868.416356;gateway_1;0;0;0
1692258868.367;1692258868.871154;1692258868.87225;1692258868.918891;gateway_1;0;0;0
