startTime;edgeTime;cloudTime;notificationTime;clientName;hasLeak;leakGroup;prediction
1692258927.037;1692258927.541868;1692258927.542872;1692258927.58961;gateway_2;0;0;0
1692258927.541;1692258928.044296;1692258928.045296;1692258928.092304;gateway_2;0;0;0
1692258928.044;1692258928.547121;1692258928.54812;1692258928.594117;gateway_2;0;0;0
1692258928.547;1692258929.049704;1692258929.05137;1692258929.097472;gateway_2;0;0;0
1692258929.049;1692258929.552442;1692258929.553442;1692258929.599441;gateway_2;0;0;0
1692258929.552;1692258930.055442;1692258930.057446;1692258930.103439;gateway_2;0;0;0
1692258930.055;1692258930.559651;1692258930.560784;1692258930.605901;gateway_2;0;0;0
1692258930.559;1692258931.0619;1692258931.0629;1692258931.1119;gateway_2;0;0;0
1692258931.061;1692258931.564901;1692258931.5659;1692258931.611907;gateway_2;0;0;0
1692258931.564;1692258932.066901;1692258932.067898;1692258932.113896;gateway_2;0;0;0
1692258932.067;1692258932.569618;1692258932.570619;1692258932.61662;gateway_2;0;0;0
1692258932.569;1692258933.072424;1692258933.073424;1692258933.120425;gateway_2;0;0;0
1692258933.072;1692258933.575186;1692258933.576187;1692258933.622182;gateway_2;0;0;0
1692258933.575;1692258934.077195;1692258934.079186;1692258934.125189;gateway_2;0;0;0
1692258934.077;1692258934.580185;1692258934.581185;1692258934.626182;gateway_2;0;0;0
1692258934.58;1692258935.082879;1692258935.083876;1692258935.129875;gateway_2;0;0;0
1692258935.083;1692258935.585877;1692258935.586878;1692258935.633881;gateway_2;0;0;0
1692258935.586;1692258936.08844;1692258936.089445;1692258936.135439;gateway_2;0;0;0
1692258936.088;1692258936.590441;1692258936.591442;1692258936.638439;gateway_2;0;0;0
1692258936.59;1692258937.093442;1692258937.094442;1692258937.140439;gateway_2;0;0;0
1692258937.093;1692258937.596191;1692258937.597194;1692258937.643187;gateway_2;0;0;0
1692258937.596;1692258938.099212;1692258938.10028;1692258938.149389;gateway_2;0;0;0
1692258938.099;1692258938.601983;1692258938.602982;1692258938.689011;gateway_2;0;0;0
1692258938.602;1692258939.104982;1692258939.105984;1692258939.269011;gateway_2;0;0;0
1692258939.104;1692258939.607807;1692258939.608809;1692258939.687807;gateway_2;0;0;0
1692258939.608;1692258940.110813;1692258940.111807;1692258940.613933;gateway_2;0;0;0
1692258940.111;1692258940.614605;1692258940.616402;1692258940.726419;gateway_2;0;0;0
1692258940.614;1692258941.116421;1692258941.117421;1692258941.254422;gateway_2;0;0;0
1692258941.116;1692258941.619727;1692258941.620855;1692258941.671743;gateway_2;0;0;0
1692258941.619;1692258942.121736;1692258942.122736;1692258942.169737;gateway_2;0;0;0
1692258942.121;1692258942.624579;1692258942.626582;1692258942.67858;gateway_2;0;0;0
1692258942.624;1692258943.127058;1692258943.128054;1692258943.176056;gateway_2;0;0;0
1692258943.127;1692258943.630057;1692258943.631054;1692258943.677052;gateway_2;0;0;0
